Player,Year,MP,G,MPG,Pos,Age,Tm,PER,USG%,VORP,BPM,PTS,AST,TRB,is_rotation_player
David Andersen,2010.0,891.0,63.0,14.142857142857142,C,29.0,HOU,12.1,20.2,-0.4,-3.8,367.0,44.0,208.0,0
Antonio Anderson,2010.0,15.0,1.0,15.0,SF,24.0,OKC,-1.7,12.0,0.0,-11.4,2.0,0.0,1.0,1
Jeff Ayres,2010.0,405.0,39.0,10.384615384615385,C,22.0,POR,12.1,10.1,-0.1,-2.9,104.0,1.0,98.0,0
Rodrigue Beaubois,2010.0,700.0,56.0,12.5,PG,21.0,DAL,18.5,24.7,0.6,1.3,397.0,74.0,78.0,1
DeJuan Blair,2010.0,1494.0,82.0,18.21951219512195,PF,20.0,SAS,17.7,20.8,1.0,0.7,638.0,65.0,526.0,1
Jon Brockman,2010.0,654.0,52.0,12.576923076923077,PF,22.0,SAC,12.4,10.4,0.2,-0.8,147.0,22.0,213.0,0
Derrick Brown,2010.0,535.0,57.0,9.385964912280702,SF,22.0,CHA,12.6,17.2,0.0,-2.2,186.0,19.0,78.0,0
Chase Budinger,2010.0,1488.0,74.0,20.10810810810811,SF,21.0,HOU,14.1,19.4,0.3,-1.1,657.0,88.0,220.0,1
DeMarre Carroll,2010.0,795.0,71.0,11.19718309859155,SF,23.0,MEM,8.5,14.8,-0.4,-4.1,209.0,33.0,150.0,0
Omri Casspi,2010.0,1931.0,77.0,25.07792207792208,SF,21.0,SAC,13.0,19.4,-0.1,-2.1,792.0,95.0,349.0,1
Earl Clark,2010.0,383.0,51.0,7.509803921568627,PF,22.0,PHO,8.5,21.9,-0.5,-6.9,140.0,21.0,62.0,0
Darren Collison,2010.0,2109.0,76.0,27.75,PG,22.0,NOH,16.5,23.1,0.2,-1.7,946.0,432.0,192.0,1
Dante Cunningham,2010.0,707.0,63.0,11.222222222222221,PF,22.0,POR,14.3,16.8,0.0,-1.9,243.0,14.0,160.0,1
JamesOn Curry,2010.0,0.0,1.0,0.0,PG,24.0,LAC,,,0.0,-6.9,0.0,0.0,0.0,0
Stephen Curry,2010.0,2896.0,80.0,36.2,PG,21.0,GSW,16.3,21.8,2.2,1.0,1399.0,472.0,356.0,1
Austin Daye,2010.0,915.0,69.0,13.26086956521739,SF,21.0,DET,12.8,18.5,-0.2,-2.7,349.0,34.0,174.0,1
DeMar DeRozan,2010.0,1664.0,77.0,21.61038961038961,SG,20.0,TOR,12.5,18.1,-0.3,-2.8,662.0,53.0,223.0,1
Toney Douglas,2010.0,1087.0,56.0,19.410714285714285,PG,23.0,NYK,14.9,19.8,0.3,-0.8,481.0,112.0,108.0,1
Wayne Ellington,2010.0,1384.0,76.0,18.210526315789473,SG,22.0,MIN,9.6,17.4,-1.0,-4.8,505.0,74.0,159.0,1
Tyreke Evans,2010.0,2677.0,72.0,37.18055555555556,SG,20.0,SAC,18.2,26.2,2.5,1.6,1450.0,414.0,380.0,1
Jonny Flynn,2010.0,2339.0,81.0,28.876543209876544,PG,20.0,MIN,13.0,24.2,-1.0,-3.6,1094.0,356.0,191.0,1
Sundiata Gaines,2010.0,217.0,32.0,6.78125,PG,23.0,UTA,17.3,24.0,0.1,0.1,106.0,39.0,29.0,0
Alonzo Gee,2010.0,182.0,11.0,16.545454545454547,SG,22.0,WAS,16.2,20.4,0.0,-1.4,81.0,7.0,33.0,1
Taj Gibson,2010.0,2204.0,82.0,26.878048780487806,PF,24.0,CHI,13.8,16.7,0.8,-0.6,735.0,70.0,611.0,1
Trey Gilder,2010.0,5.0,2.0,2.5,SF,25.0,MEM,30.9,8.8,0.0,7.6,2.0,0.0,1.0,0
Danny Green,2010.0,115.0,20.0,5.75,SG,22.0,CLE,12.3,18.9,0.0,-0.8,40.0,5.0,17.0,1
Taylor Griffin,2010.0,32.0,8.0,4.0,SF,23.0,PHO,5.2,17.6,0.0,-7.3,10.0,1.0,2.0,0
Tyler Hansbrough,2010.0,511.0,29.0,17.620689655172413,PF,24.0,IND,14.6,25.5,-0.3,-4.2,246.0,28.0,138.0,1
James Harden,2010.0,1738.0,76.0,22.86842105263158,SG,20.0,OKC,14.0,20.4,1.3,1.0,753.0,137.0,244.0,1
Jordan Hill,2010.0,624.0,47.0,13.27659574468085,PF,22.0,TOT,15.0,18.7,-0.2,-3.1,244.0,20.0,175.0,1
Jordan Hill,2010.0,252.0,24.0,10.5,PF,22.0,NYK,14.0,20.3,-0.2,-4.4,97.0,7.0,61.0,1
Jordan Hill,2010.0,372.0,23.0,16.17391304347826,PF,22.0,HOU,15.7,17.6,0.0,-2.2,147.0,13.0,114.0,1
Jrue Holiday,2010.0,1767.0,73.0,24.205479452054796,PG,19.0,PHI,12.3,18.4,0.1,-1.8,587.0,280.0,191.0,1
Lester Hudson,2010.0,131.0,25.0,5.24,PG,25.0,TOT,13.2,25.0,0.0,-2.6,58.0,13.0,18.0,0
Lester Hudson,2010.0,70.0,16.0,4.375,PG,25.0,BOS,8.7,19.9,0.0,-4.1,22.0,8.0,8.0,0
Lester Hudson,2010.0,61.0,9.0,6.777777777777778,PG,25.0,MEM,18.3,30.9,0.0,-0.9,36.0,5.0,10.0,0
Chris Hunter,2010.0,783.0,60.0,13.05,C,25.0,GSW,12.2,15.2,-0.2,-3.1,270.0,37.0,167.0,0
Serge Ibaka,2010.0,1323.0,73.0,18.123287671232877,PF,20.0,OKC,15.2,16.2,-0.1,-2.4,461.0,10.0,397.0,1
Cedric Jackson,2010.0,74.0,12.0,6.166666666666667,PG,23.0,TOT,5.5,22.4,-0.1,-7.5,20.0,14.0,8.0,0
Cedric Jackson,2010.0,10.0,5.0,2.0,PG,23.0,CLE,-6.6,22.2,0.0,-16.8,1.0,2.0,1.0,0
Cedric Jackson,2010.0,25.0,3.0,8.333333333333334,PG,23.0,SAS,19.2,19.7,0.0,5.4,7.0,6.0,4.0,0
Cedric Jackson,2010.0,39.0,4.0,9.75,PG,23.0,WAS,-0.2,24.1,-0.1,-13.4,12.0,6.0,3.0,0
Othyus Jeffers,2010.0,73.0,14.0,5.214285714285714,SG,24.0,UTA,13.6,26.7,-0.1,-8.5,37.0,1.0,19.0,1
